street,city,zipcode,beds,baths,sq__ft,price
aaaa,bbbb,95838,2,1,836,59222
aaaa,bbbb,95837,3,1,1167,68212
aaaa,bbbb,95836,2,1,796,68880
aaaa,bbbb,95835,2,1,852,69307
aaaa,bbbb,95834,2,1,797,81900
aaaa,bbbb,95833,3,1,1122,89921
aaaa,bbbb,95832,3,2,1104,90895
aaaa,bbbb,95831,3,1,1177,91002
aaaa,bbbb,95830,2,2,941,94905
aaaa,bbbb,95829,3,2,1146,98937
aaaa,bbbb,95828,3,2,909,100309
aaaa,bbbb,95827,3,2,1289,106250
aaaa,bbbb,95826,1,1,871,106852
aaaa,bbbb,95825,3,1,1020,107502
aaaa,bbbb,95824,2,2,1022,108750
aaaa,bbbb,95823,2,2,1134,110700
aaaa,bbbb,95822,2,1,844,113263
aaaa,bbbb,95821,2,1,795,116250
aaaa,bbbb,95820,2,1,588,120000
aaaa,bbbb,95819,3,2,1356,121630
aaaa,bbbb,95818,3,2,1118,122000
aaaa,bbbb,95817,4,2,1329,122682
aaaa,bbbb,95816,4,2,1240,123000
aaaa,bbbb,95815,3,2,1601,124100
aaaa,bbbb,95814,3,2,901,125000
aaaa,bbbb,95813,3,2,1088,126640
aaaa,bbbb,95812,3,1,963,127281
aaaa,bbbb,95811,3,2,1119,129000
aaaa,bbbb,95810,4,2,1380,131200
aaaa,bbbb,95809,3,2,1248,132000
aaaa,bbbb,95808,2,2,1039,133000
aaaa,bbbb,95807,3,2,1152,134555
aaaa,bbbb,95806,3,2,1380,136500
aaaa,bbbb,95805,3,2,1116,138750
aaaa,bbbb,95804,2,2,1039,141000
aaaa,bbbb,95803,3,2,1418,146250
aaaa,bbbb,95802,3,2,1082,147308
aaaa,bbbb,95801,4,2,1472,148750
aaaa,bbbb,95800,4,2,1146,149593
aaaa,bbbb,95799,1,1,760,150000
aaaa,bbbb,95798,2,2,1304,152000
aaaa,bbbb,95797,3,2,1207,154000
aaaa,bbbb,95796,3,2,1056,156896
aaaa,bbbb,95795,2,2,1043,161250
aaaa,bbbb,95794,4,2,1587,161500
aaaa,bbbb,95793,4,1,1120,164000
aaaa,bbbb,95792,4,2,1580,165000
aaaa,bbbb,95791,4,1,1955,166357
aaaa,bbbb,95790,4,2,1656,166357
aaaa,bbbb,95789,3,2,1477,168000
aaaa,bbbb,95788,3,2,1188,170000
aaaa,bbbb,95787,4,2,1590,173000
aaaa,bbbb,95786,3,2,1463,174250
aaaa,bbbb,95785,4,2,1714,174313
aaaa,bbbb,95784,3,2,1185,178480
aaaa,bbbb,95783,3,2,1406,178760
aaaa,bbbb,95782,4,2,1943,179580
aaaa,bbbb,95781,3,2,1172,181000
aaaa,bbbb,95780,3,1,1152,181872
aaaa,bbbb,95779,4,3,1851,182587
aaaa,bbbb,95778,3,2,1215,182716
aaaa,bbbb,95777,3,2,1130,182750
aaaa,bbbb,95776,4,2,1603,183200
aaaa,bbbb,95775,3,1,1479,188741
aaaa,bbbb,95774,3,2,1420,189000
aaaa,bbbb,95773,3,2,1280,192067
aaaa,bbbb,95772,3,2,1586,194000
aaaa,bbbb,95771,3,2,1362,194818
aaaa,bbbb,95770,4,4,2162,195000
aaaa,bbbb,95769,3,2,1266,198000
aaaa,bbbb,95768,4,2,1715,199500
aaaa,bbbb,95767,3,2,1820,200000
aaaa,bbbb,95766,3,1,936,200000
aaaa,bbbb,95765,3,2,1511,208000
aaaa,bbbb,95764,4,2,1590,212864
aaaa,bbbb,95763,4,2,1596,221000
aaaa,bbbb,95762,2,2,1341,221000
aaaa,bbbb,95761,5,3,2136,223058
aaaa,bbbb,95760,4,2,1616,227887
aaaa,bbbb,95759,3,2,1478,231477
aaaa,bbbb,95758,3,2,1287,234697
aaaa,bbbb,95757,4,2,1277,235000
aaaa,bbbb,95756,4,2,1448,236000
aaaa,bbbb,95755,4,3,2235,236685
aaaa,bbbb,95754,3,2,2093,237800
aaaa,bbbb,95753,3,2,1193,240122
aaaa,bbbb,95752,3,2,2163,242638
aaaa,bbbb,95751,3,2,1269,244000
aaaa,bbbb,95750,3,1,958,244960
aaaa,bbbb,95749,5,3,2508,245918
aaaa,bbbb,95748,3,2,1305,250000
aaaa,bbbb,95747,4,2,1591,250000
aaaa,bbbb,95746,2,2,1326,250134
aaaa,bbbb,95745,3,2,1843,254200
aaaa,bbbb,95744,4,2,1921,254200
aaaa,bbbb,95743,5,3,2790,258000
aaaa,bbbb,95742,3,2,1541,260000
aaaa,bbbb,95741,3,1,1018,260014
aaaa,bbbb,95740,3,2,1672,265000
aaaa,bbbb,95739,3,2,1380,265000
aaaa,bbbb,95738,3,1,975,271742
aaaa,bbbb,95737,4,3,2372,273750
aaaa,bbbb,95736,3,2,1446,275086
aaaa,bbbb,95735,2,2,1284,280908
aaaa,bbbb,95734,4,3,3009,280987
aaaa,bbbb,95733,8,4,3612,282400
aaaa,bbbb,95732,4,2,2056,285000
aaaa,bbbb,95731,4,2,1993,287417
aaaa,bbbb,95730,3,2,1857,291000
aaaa,bbbb,95729,2,1,1126,292024
aaaa,bbbb,95728,4,4,2213,297000
aaaa,bbbb,95727,5,3,2494,297000
aaaa,bbbb,95726,3,2,1843,298000
aaaa,bbbb,95725,2,2,1520,299000
aaaa,bbbb,95724,5,3,2800,304037
aaaa,bbbb,95723,4,2,2309,311000
aaaa,bbbb,95722,5,3,2367,315537
aaaa,bbbb,95721,5,4,3516,320000
aaaa,bbbb,95720,4,3,1914,328360
aaaa,bbbb,95719,2,1,1690,334150
aaaa,bbbb,95718,3,3,2725,335750
aaaa,bbbb,95717,4,3,2354,335750
aaaa,bbbb,95716,3,2,2185,344250
aaaa,bbbb,95715,4,2,1801,346210
aaaa,bbbb,95714,3,3,1961,347029
aaaa,bbbb,95713,4,2,3134,347650
aaaa,bbbb,95712,4,3,1915,351300
aaaa,bbbb,95711,4,3,2734,370500
aaaa,bbbb,95710,3,2,2110,372000
aaaa,bbbb,95709,5,3,3164,375000
aaaa,bbbb,95708,5,3,3599,381300
aaaa,bbbb,95707,4,2,2054,381942
aaaa,bbbb,95706,4,2,1830,387731
aaaa,bbbb,95705,3,3,1627,391000
aaaa,bbbb,95704,4,3,3440,394470
aaaa,bbbb,95703,3,2,2846,395000
aaaa,bbbb,95702,4,3,2359,400186
aaaa,bbbb,95701,3,3,2052,415000
aaaa,bbbb,95700,5,3,3433,425000
aaaa,bbbb,95699,5,3,3615,430000
aaaa,bbbb,95698,5,3,2687,460000
aaaa,bbbb,95697,4,3,2724,461000
aaaa,bbbb,95696,4,3,3440,489332
aaaa,bbbb,95695,5,4,3508,510000
aaaa,bbbb,95694,4,2,2462,539000
aaaa,bbbb,95693,3,3,2325,660000
aaaa,bbbb,95692,2,1,795,69000
aaaa,bbbb,95691,4,2,1099,70000
aaaa,bbbb,95690,2,1,840,71000
aaaa,bbbb,95689,2,1,800,78000
aaaa,bbbb,95688,2,1,746,78400
aaaa,bbbb,95687,3,1,1067,80000
aaaa,bbbb,95686,4,2,1316,89000
aaaa,bbbb,95685,3,1,1337,90000
aaaa,bbbb,95684,2,1,868,90000
aaaa,bbbb,95683,3,1,924,92000
aaaa,bbbb,95682,2,1,610,93675
aaaa,bbbb,95681,2,1,1220,98000
aaaa,bbbb,95680,1,1,722,98000
aaaa,bbbb,95679,3,1,1643,99000
aaaa,bbbb,95678,1,1,722,100000
aaaa,bbbb,95677,3,1,1080,106716
aaaa,bbbb,95676,3,1,1039,111000
aaaa,bbbb,95675,3,1,1051,111000
aaaa,bbbb,95674,2,2,967,114800
aaaa,bbbb,95673,3,1,1098,120108
aaaa,bbbb,95672,3,1,1050,123225
aaaa,bbbb,95671,3,2,1110,123750
aaaa,bbbb,95670,3,1,888,125000
aaaa,bbbb,95669,3,2,1120,125000
aaaa,bbbb,95668,3,2,1080,126000
aaaa,bbbb,95667,3,1,957,129000
aaaa,bbbb,95666,2,1,952,134000
aaaa,bbbb,95665,3,2,1211,135000
aaaa,bbbb,95664,3,2,1264,135500
aaaa,bbbb,95663,3,1,1080,140000
aaaa,bbbb,95662,3,2,1266,140000
aaaa,bbbb,95661,2,2,994,142500
aaaa,bbbb,95660,3,2,1202,143500
aaaa,bbbb,95659,2,1,722,145000
aaaa,bbbb,95658,4,2,1448,145000
aaaa,bbbb,95657,3,2,1188,145000
aaaa,bbbb,95656,4,2,1183,146000
aaaa,bbbb,95655,3,1,1320,148500
aaaa,bbbb,95654,3,2,1117,149000
aaaa,bbbb,95653,3,2,1364,150000
aaaa,bbbb,95652,4,2,1310,150000
aaaa,bbbb,95651,2,2,1006,152000
aaaa,bbbb,95650,3,2,1104,156000
aaaa,bbbb,95649,2,1,810,156000
aaaa,bbbb,95648,2,2,1123,156000
aaaa,bbbb,95647,2,1,904,157788
aaaa,bbbb,95646,3,2,1156,161653
aaaa,bbbb,95645,2,1,1321,161829
aaaa,bbbb,95644,3,2,1392,165000
aaaa,bbbb,95643,3,2,1439,168000
aaaa,bbbb,95642,3,2,1159,169000
aaaa,bbbb,95641,3,2,1671,175000
aaaa,bbbb,95640,3,2,1740,176250
aaaa,bbbb,95639,3,2,1265,179000
aaaa,bbbb,95638,2,2,1007,180000
aaaa,bbbb,95637,3,2,1716,180400
aaaa,bbbb,95636,4,2,1685,182000
aaaa,bbbb,95635,4,2,1829,184500
aaaa,bbbb,95634,3,2,1555,185000
aaaa,bbbb,95633,4,2,1120,189000
aaaa,bbbb,95632,3,2,1137,194000
aaaa,bbbb,95631,3,1,1174,195000
aaaa,bbbb,95630,3,2,1393,200000
aaaa,bbbb,95629,3,2,1289,205000
aaaa,bbbb,95628,4,2,1799,205000
aaaa,bbbb,95627,4,3,1953,205000
aaaa,bbbb,95626,2,1,723,207000
aaaa,bbbb,95625,2,1,948,211500
aaaa,bbbb,95624,4,2,1578,215000
aaaa,bbbb,95623,3,2,1317,215000
aaaa,bbbb,95622,3,1,1360,222381
aaaa,bbbb,95621,3,2,1522,225000
aaaa,bbbb,95620,4,2,1751,225000
aaaa,bbbb,95619,3,2,1465,225000
aaaa,bbbb,95618,4,2,1605,228000
aaaa,bbbb,95617,4,2,1475,229665
aaaa,bbbb,95616,3,1,1216,230000
aaaa,bbbb,95615,2,2,1315,230000
aaaa,bbbb,95614,3,2,1567,230000
aaaa,bbbb,95613,3,2,1776,234000
aaaa,bbbb,95612,3,2,2187,235000
aaaa,bbbb,95611,3,1,1291,236250
aaaa,bbbb,95610,3,2,1503,245000
aaaa,bbbb,95609,4,3,2491,245000
aaaa,bbbb,95608,2,1,1269,245000
aaaa,bbbb,95607,3,2,1176,250000
aaaa,bbbb,95606,4,2,1456,250000
aaaa,bbbb,95605,3,2,1498,250000
aaaa,bbbb,95604,3,2,1574,255000
aaaa,bbbb,95603,5,4,2085,256054
aaaa,bbbb,95602,3,2,2170,257729
aaaa,bbbb,95601,4,2,1595,260000
aaaa,bbbb,95600,3,2,1567,261000
aaaa,bbbb,95599,4,2,1253,264469
aaaa,bbbb,95598,4,3,1768,265000
aaaa,bbbb,95597,4,3,2030,270000
aaaa,bbbb,95596,3,2,1531,270000
aaaa,bbbb,95595,4,3,1653,275000
aaaa,bbbb,95594,4,2,2056,275000
aaaa,bbbb,95593,4,3,2494,280000
aaaa,bbbb,95592,3,2,1450,286013
aaaa,bbbb,95591,4,2,2169,292000
aaaa,bbbb,95590,3,2,1440,292000
aaaa,bbbb,95589,3,2,1527,293993
aaaa,bbbb,95588,3,2,1401,294000
aaaa,bbbb,95587,3,2,1411,296769
aaaa,bbbb,95586,3,1,1284,300000
aaaa,bbbb,95585,4,3,2307,300000
aaaa,bbbb,95584,3,2,1329,300000
aaaa,bbbb,95583,4,2,1910,300500
aaaa,bbbb,95582,3,2,1981,305000
aaaa,bbbb,95581,4,2,2205,319789
aaaa,bbbb,95580,2,2,1449,330000
aaaa,bbbb,95579,3,2,1258,330000
aaaa,bbbb,95578,3,2,2575,331000
aaaa,bbbb,95577,2,1,539,334000
aaaa,bbbb,95576,4,3,2208,336000
aaaa,bbbb,95575,3,1,1108,339000
aaaa,bbbb,95574,4,2,1595,339000
aaaa,bbbb,95573,4,2,2159,345000
aaaa,bbbb,95572,4,3,2295,350000
aaaa,bbbb,95571,3,2,1838,356000
aaaa,bbbb,95570,4,2,1900,361745
aaaa,bbbb,95569,4,2,1718,361948
aaaa,bbbb,95568,5,3,3389,370000
aaaa,bbbb,95567,5,4,3260,385000
aaaa,bbbb,95566,3,2,2016,399000
aaaa,bbbb,95565,4,2,2607,402000
aaaa,bbbb,95564,4,3,2724,406026
aaaa,bbbb,95563,5,4,3746,420000
aaaa,bbbb,95562,4,2,3192,425000
aaaa,bbbb,95561,2,1,1247,445000
aaaa,bbbb,95560,4,2,2581,450000
aaaa,bbbb,95559,3,1,2068,460000
aaaa,bbbb,95558,4,3,3992,460000
aaaa,bbbb,95557,4,4,3397,465000
aaaa,bbbb,95556,5,3,3881,471750
aaaa,bbbb,95555,2,2,1598,484000
aaaa,bbbb,95554,4,3,1929,485000
aaaa,bbbb,95553,4,3,3070,495000
aaaa,bbbb,95552,5,3,3984,572500
aaaa,bbbb,95551,4,2,2222,582000
aaaa,bbbb,95550,4,3,3838,613401
aaaa,bbbb,95549,5,5,2846,680000
aaaa,bbbb,95548,5,2,2484,699000
aaaa,bbbb,95547,4,4,1624,839000
aaaa,bbbb,95546,3,1,970,61500
aaaa,bbbb,95545,2,1,623,62050
aaaa,bbbb,95544,2,1,932,65000
aaaa,bbbb,95543,2,1,796,65000
aaaa,bbbb,95542,2,1,834,68000
aaaa,bbbb,95541,2,1,834,68000
aaaa,bbbb,95540,2,1,924,77000
aaaa,bbbb,95539,2,1,795,82732
aaaa,bbbb,95538,3,1,1250,84000
aaaa,bbbb,95537,2,1,984,84675
aaaa,bbbb,95536,3,1,1013,85000
aaaa,bbbb,95535,3,1,1012,90000
aaaa,bbbb,95534,2,1,795,90000
aaaa,bbbb,95533,2,2,918,91000
aaaa,bbbb,95532,3,1,1082,95000
aaaa,bbbb,95531,2,1,964,97500
aaaa,bbbb,95530,4,2,1404,100000
aaaa,bbbb,95529,1,1,625,100000
aaaa,bbbb,95528,2,1,888,101000
aaaa,bbbb,95527,4,2,1120,102750
aaaa,bbbb,95526,3,1,1331,112500
aaaa,bbbb,95525,3,1,1014,113000
aaaa,bbbb,95524,4,2,1448,114000
aaaa,bbbb,95523,3,1,966,114000
aaaa,bbbb,95522,2,1,779,114750
aaaa,bbbb,95521,2,2,836,115000
aaaa,bbbb,95520,2,2,1100,115000
aaaa,bbbb,95519,3,1,1174,116100
aaaa,bbbb,95518,3,2,1207,119250
aaaa,bbbb,95517,4,4,1995,120000
aaaa,bbbb,95516,2,1,804,120000
aaaa,bbbb,95515,2,2,958,120000
aaaa,bbbb,95514,3,2,1366,120108
aaaa,bbbb,95513,2,2,901,121500
aaaa,bbbb,95512,3,1,696,121725
aaaa,bbbb,95511,3,2,1080,122000
aaaa,bbbb,95510,3,2,1104,123000
aaaa,bbbb,95509,2,1,972,125000
aaaa,bbbb,95508,4,2,1390,125573
aaaa,bbbb,95507,4,2,1354,126714
aaaa,bbbb,95506,2,1,795,126960
aaaa,bbbb,95505,2,1,780,127000
aaaa,bbbb,95504,4,2,1587,127500
aaaa,bbbb,95503,3,2,1209,130000
aaaa,bbbb,95502,2,1,1139,133105
aaaa,bbbb,95501,2,2,1690,136500
aaaa,bbbb,95500,3,2,1245,139500
aaaa,bbbb,95499,3,2,1416,140000
aaaa,bbbb,95498,3,2,1300,140800
aaaa,bbbb,95497,3,2,1120,145000
aaaa,bbbb,95496,4,2,1590,147000
aaaa,bbbb,95495,3,2,1407,149600
aaaa,bbbb,95494,5,2,1516,150000
aaaa,bbbb,95493,3,2,1646,150000
aaaa,bbbb,95492,3,2,1676,155000
aaaa,bbbb,95491,3,2,1370,155435
aaaa,bbbb,95490,3,2,1370,155500
aaaa,bbbb,95489,4,2,1351,158000
aaaa,bbbb,95488,3,2,1152,158000
aaaa,bbbb,95487,3,2,1452,160000
aaaa,bbbb,95486,2,1,990,160000
aaaa,bbbb,95485,2,2,1162,164000
aaaa,bbbb,95484,3,2,1182,164000
aaaa,bbbb,95483,2,2,1112,165000
aaaa,bbbb,95482,3,2,1100,167000
aaaa,bbbb,95481,4,2,1280,167293
aaaa,bbbb,95480,4,2,1280,167293
aaaa,bbbb,95479,3,1,1039,168000
aaaa,bbbb,95478,3,2,1159,170000
aaaa,bbbb,95477,4,2,1917,170000
aaaa,bbbb,95476,3,2,1520,170000
aaaa,bbbb,95475,3,2,1204,174000
aaaa,bbbb,95474,3,2,1120,178000
aaaa,bbbb,95473,3,2,1436,180000
aaaa,bbbb,95472,3,2,1451,180000
aaaa,bbbb,95471,4,2,1638,180000
aaaa,bbbb,95470,2,2,1000,182000
aaaa,bbbb,95469,3,1,1152,188325
aaaa,bbbb,95468,3,2,1154,191500
aaaa,bbbb,95467,3,2,1353,192000
aaaa,bbbb,95466,3,2,1329,192700
aaaa,bbbb,95465,3,1,1356,195000
aaaa,bbbb,95464,3,2,1505,197654
aaaa,bbbb,95463,3,1,1009,198000
aaaa,bbbb,95462,3,2,1144,200345
aaaa,bbbb,95461,2,1,930,203000
aaaa,bbbb,95460,4,2,1766,207000
aaaa,bbbb,95459,4,3,1940,208000
aaaa,bbbb,95458,4,2,1776,210000
aaaa,bbbb,95457,3,1,1258,212000
aaaa,bbbb,95456,4,2,1872,213675
aaaa,bbbb,95455,2,2,1112,213697
aaaa,bbbb,95454,4,2,1856,215000
aaaa,bbbb,95453,4,3,1939,215000
aaaa,bbbb,95452,3,1,998,215100
aaaa,bbbb,95451,3,2,1758,217500
aaaa,bbbb,95450,3,2,2142,218000
aaaa,bbbb,95449,2,1,950,220000
aaaa,bbbb,95448,4,3,1739,221000
aaaa,bbbb,95447,3,2,1516,222900
aaaa,bbbb,95446,3,1,988,223139
aaaa,bbbb,95445,4,2,1555,225500
aaaa,bbbb,95444,3,2,1212,228327
aaaa,bbbb,95443,4,2,1871,230000
aaaa,bbbb,95442,3,2,1302,230000
aaaa,bbbb,95441,2,1,756,230522
aaaa,bbbb,95440,4,3,2026,231200
aaaa,bbbb,95439,3,2,1375,232000
aaaa,bbbb,95438,2,2,1250,232500
aaaa,bbbb,95437,3,1,1058,233641
aaaa,bbbb,95436,3,2,1187,234000
aaaa,bbbb,95435,2,2,1324,234500
aaaa,bbbb,95434,4,3,1936,235000
aaaa,bbbb,95433,5,4,2382,236000
aaaa,bbbb,95432,3,2,1427,236073
aaaa,bbbb,95431,3,2,1678,238000
aaaa,bbbb,95430,4,2,1798,238861
aaaa,bbbb,95429,4,3,2652,239700
aaaa,bbbb,95428,4,2,1816,240000
aaaa,bbbb,95427,5,3,3076,240000
aaaa,bbbb,95426,4,2,1844,241000
aaaa,bbbb,95425,3,2,1306,245000
aaaa,bbbb,95424,4,3,2447,246000
aaaa,bbbb,95423,4,2,1176,247234
aaaa,bbbb,95422,4,2,1182,247480
aaaa,bbbb,95421,3,1,1160,249862
aaaa,bbbb,95420,3,2,1424,251000
aaaa,bbbb,95419,4,2,1574,252155
aaaa,bbbb,95418,3,2,1830,254172
aaaa,bbbb,95417,4,2,1724,258000
aaaa,bbbb,95416,2,2,1255,260000
aaaa,bbbb,95415,4,3,2175,261000
aaaa,bbbb,95414,4,2,1904,261000
aaaa,bbbb,95413,4,2,1808,262500
aaaa,bbbb,95412,4,2,2711,266000
aaaa,bbbb,95411,3,1,1713,266000
aaaa,bbbb,95410,3,2,1457,270000
aaaa,bbbb,95409,4,3,2724,274425
aaaa,bbbb,95408,3,2,1468,275336
aaaa,bbbb,95407,4,3,2550,277980
aaaa,bbbb,95406,4,2,1928,280000
aaaa,bbbb,95405,3,3,1922,284686
aaaa,bbbb,95404,3,2,1343,284893
aaaa,bbbb,95403,3,2,1510,285000
aaaa,bbbb,95402,2,2,960,285000
aaaa,bbbb,95401,4,2,1559,285000
aaaa,bbbb,95400,3,2,1624,289000
aaaa,bbbb,95399,5,3,2992,295000
aaaa,bbbb,95398,4,2,2109,296000
aaaa,bbbb,95397,4,2,1524,296056
aaaa,bbbb,95396,3,2,1248,297359
aaaa,bbbb,95395,4,2,1876,299940
aaaa,bbbb,95394,4,3,1851,305000
aaaa,bbbb,95393,4,2,2218,311328
aaaa,bbbb,95392,3,2,1394,313138
aaaa,bbbb,95391,3,2,1410,316630
aaaa,bbbb,95390,5,3,3468,320000
aaaa,bbbb,95389,5,3,2346,320000
aaaa,bbbb,95388,5,3,2347,325000
aaaa,bbbb,95387,4,2,1659,328578
aaaa,bbbb,95386,3,3,2442,331000
aaaa,bbbb,95385,4,2,2155,340000
aaaa,bbbb,95384,3,2,1810,345746
aaaa,bbbb,95383,4,2,2789,351000
aaaa,bbbb,95382,4,2,1606,353767
aaaa,bbbb,95381,4,2,2166,356035
